"title","authors","venue","publishing_date","url","date_found","source_mode","relevance_tier","theme_group","headline","summary","abstract","notes"
"FlowCorrect: Flow Matching Policy Correction via Online RL","not specified","arXiv preprint","May 2025","https://arxiv.org/abs/2505.22094","2026-03-24","email","definitely","Flow Matching / RL","Online RL patches flow matching policies without retraining from scratch","Corrects flow matching policies using online RL. Combines two key method interests.","ReinFlow is a simple yet effective online reinforcement learning (RL) framework that fine-tunes a family of flow matching policies for continuous robotic control. Derived from rigorous RL theory, ReinFlow injects learnable noise into a flow policy's deterministic path, converting the flow into a discrete-time Markov Process for exact and straightforward likelihood computation. This conversion facilitates exploration and ensures training stability, enabling ReinFlow to fine-tune diverse flow model variants, including Rectified Flow and Shortcut Models, particularly at very few or even one denoising step. The paper benchmarks ReinFlow in representative locomotion and manipulation tasks, including long-horizon planning with visual input and sparse reward.","Alert: Majumdar. High - flow matching + online RL"
"Diffusion Policy Attacker: Adversarial Attacks for Diffusion-based Policies","not specified","arXiv preprint","May 2024","https://arxiv.org/abs/2405.19424","2026-03-24","email","definitely","Diffusion Models / Safety","Adversarial attacks expose vulnerabilities in diffusion-based robot policies","Adversarial attacks on diffusion-based robot policies. Relevant to robustness and diffusion.","Diffusion models (DMs) have emerged as a promising approach for behavior cloning (BC). Diffusion policies (DP) based on DMs have elevated BC performance to new heights, demonstrating robust efficacy across diverse tasks, coupled with their inherent flexibility and ease of implementation. Despite the increasing adoption of DP as a foundation for policy generation, the critical issue of safety remains largely unexplored. While previous attempts have targeted deep policy networks, DP used diffusion models as the policy network, making it ineffective to be attacked using previous methods because of its chained structure and randomness injected. In this paper, the authors undertake a comprehensive examination of DP safety concerns by introducing adversarial scenarios, encompassing offline and online attacks, and global and patch-based attacks. They propose DP-Attacker, a suite of algorithms that can craft effective adversarial attacks across all aforementioned scenarios.","Alert: Bajcsy. High - adversarial attacks on diffusion policies"
"Shielded RL Under Dynamic Temporal Logic Specifications","not specified","arXiv preprint","Mar 2026","https://arxiv.org/abs/2603.17152","2026-03-24","email","definitely","Safe RL","Runtime shields enforce dynamic temporal logic during RL execution","Shielding with RL under dynamic temporal logic specs.","Reinforcement Learning (RL) has shown promise in various robotics applications, yet its deployment on real systems is still limited due to safety and operational constraints. The safe RL field has gained considerable attention in recent years, which focuses on imposing safety constraints throughout the learning process. However, real systems often require more complex constraints than just safety, such as periodic recharging or time-bounded visits to specific regions. Imposing such spatio-temporal tasks during learning still remains a challenge. Signal Temporal Logic (STL) is a formal language for specifying temporal properties of real-valued signals and provides a way to express such complex tasks. In this paper, the authors propose a framework that leverages sequential control barrier functions and model-free RL to ensure that the given STL tasks are satisfied throughout the learning process.","Alert: Tomlin. High - safe RL with temporal logic"
"LAR-MoE: Mixture of Experts for Imitation Learning","not specified","arXiv preprint","Jan 2026","https://arxiv.org/abs/2601.21971","2026-03-24","email","definitely","Imitation Learning","Mixture-of-experts architecture handles multi-modal imitation learning","Mixture-of-experts architecture for imitation learning.","A supervised Mixture-of-Experts (MoE) architecture is presented for phase-structured surgical manipulation tasks, which can be added on top of any autonomous policy. Unlike prior surgical robot learning approaches that rely on multi-camera setups or thousands of demonstrations, the approach shows improved efficiency in learning surgical tasks.","Alert: Majumdar. High - MoE for IL"
"In-Context Imitation Learning","not specified","arXiv preprint","Mar 2026","https://arxiv.org/abs/2603.07530","2026-03-24","email","definitely","Imitation Learning","Robots learn new tasks from demonstrations at inference time, no retraining","In-context learning paradigm applied to robot imitation learning.","In-context imitation learning enables robots to adapt to new tasks from a small number of demonstrations without additional training. However, existing approaches typically condition only on state-action trajectories and lack explicit representations of task intent. This limitation hinders performance in complex and ambiguous task settings where the same actions may be consistent with different objectives. To address this, the authors present In-Context Imitation Learning with Visual Reasoning (ICLR), a novel framework that augments demonstration prompts with structured visual reasoning traces representing anticipated future robot trajectories in image space. ICLR also jointly learns to generate reasoning traces and low-level actions within a unified autoregressive transformer, enabling the model to mimic not only action prediction but also the reasoning process that leads to those actions.","Alert: Majumdar. High - in-context IL"
"Squint: Fast Visual RL for Sim-to-Real Transfer","not specified","arXiv preprint","Feb 2026","https://arxiv.org/abs/2602.21203","2026-03-24","email","definitely","Reinforcement Learning","Visual RL achieves efficient sim-to-real transfer with minimal overhead","Fast visual RL for efficient sim-to-real transfer.","Squint is a fast off-policy visual actor critic method that achieves faster wall-clock training than prior visual RL methods. The method achieves efficiency through several technical contributions including parallel simulation, a distributional critic, resolution squinting, layer normalization, a tuned update-to-data ratio, and an optimized implementation. A distinctive aspect of the approach is its use of image downsampling: rendering at high resolution and then area downsampling to 16x16 (referred to as squinting), which provides natural anti-aliasing and preserves scene structure that aids sim-to-real transfer. The method was evaluated on the SO-101 Task Set, a new suite of eight manipulation tasks in ManiSkill3 with heavy domain randomization, and demonstrated sim-to-real transfer to a real SO-101 robot, with policies trained for 15 minutes on a single RTX 3090 GPU.","Alert: Majumdar. High - visual RL sim-to-real"
"Safe RL for Optimal Tracking Control","not specified","arXiv preprint","Feb 2026","https://arxiv.org/abs/2602.04132","2026-03-24","email","definitely","Safe RL","RL tracking controllers get safety guarantees during training and deployment","Safe RL for optimal tracking control with safety guarantees.","Reinforcement Learning (RL) has achieved remarkable success in solving complex sequential decision-making problems. However, its application to safety-critical physical systems remains constrained by the lack of stability guarantees. Standard RL algorithms prioritize reward maximization, often yielding policies that may induce oscillations or unbounded state divergence. There has been significant work in incorporating Lyapunov-based stability guarantees in RL algorithms with key challenges being selecting a candidate Lyapunov function, computational complexity by using excessive function approximators and conservative policies by incorporating stability criterion in the learning process. In this work, the authors propose a novel Lyapunov-constrained Soft Actor-Critic (LC-SAC) algorithm using Koopman operator theory.","Alert: Tomlin. High - safe RL for tracking"
"Lifelong Imitation Learning","not specified","arXiv preprint","Mar 2026","https://arxiv.org/abs/2603.10929","2026-03-24","email","definitely","Imitation Learning","Continual imitation learning avoids catastrophic forgetting across tasks","Continual/lifelong learning in imitation learning setting.","The paper introduces a lifelong imitation learning framework that enables continual policy refinement across sequential tasks under realistic memory and data constraints. The approach operates entirely in a multimodal latent space, where compact representations of visual, linguistic, and robot's state information are stored and reused to support future learning. To further stabilize adaptation, the authors introduce an incremental feature adjustment mechanism that regularizes the evolution of task embeddings through an angular margin constraint, preserving inter-task distinctiveness. The method establishes a new state of the art in the LIBERO benchmarks, achieving 10-17 point gains in AUC and up to 65% less forgetting compared to previous leading methods.","Alert: Majumdar. High - continual IL"
"ADMM-Based Distributed MPC with CBFs for Multi-Agent Systems","not specified","arXiv preprint","Mar 2026","https://arxiv.org/abs/2603.19170","2026-03-24","email","definitely","Safety & Verification","Distributed MPC + CBFs enable safe multi-agent coordination at scale","Distributed MPC with CBFs for multi-agent safety.","A fully decentralized model predictive control (MPC) framework with control barrier function (CBF) constraints for safety-critical trajectory planning in multi-robot legged systems has been proposed. The centralized safety-critical MPC problem is reformulated using a structured distributed optimization approach based on the alternating direction method of multipliers (ADMM), introducing a node-edge splitting technique with consensus constraints that decomposes the global problem into independent node-local and edge-local subproblems solvable in parallel using only neighbor-to-neighbor communication. This enables efficient real-time trajectory optimization with symmetric computational load across agents, while preserving safety and dynamic feasibility.","Alert: Lindemann/Tomlin. High - distributed safe control"
"Risk-Aware RL for Mobile Manipulation","not specified","arXiv preprint","Mar 2026","https://arxiv.org/abs/2603.04579","2026-03-24","email","definitely","Reinforcement Learning","Risk-sensitive RL produces safer mobile manipulation behaviors","Risk-aware RL for mobile manipulation tasks.","For robots to successfully transition from lab settings to everyday environments, they must reason about the risks associated with their actions and make informed, risk-aware decisions. This is particularly true for robots performing mobile manipulation tasks, which involve both interacting with and navigating within dynamic, unstructured spaces. However, existing whole-body controllers for mobile manipulators typically lack explicit mechanisms for risk-sensitive decision-making under uncertainty. The authors claim to be the first to learn risk-aware visuomotor policies for mobile manipulation conditioned on egocentric depth observations with runtime-adjustable risk sensitivity, and to show risk-aware behaviours can be transferred through Imitation Learning to a visuomotor policy conditioned on egocentric depth observations.","Alert: Majumdar. High - risk-aware RL"
"An Overview on Safety-Critical Control Under Disturbances: A CBF Approach","J Yang, X Wang, X Yu, S Li, L Guo","IEEE/ASME Trans. Mechatronics","Jan 2025","https://doi.org/10.1109/TMECH.2025.3530000","2026-03-24","email","definitely","Safety & Verification","Comprehensive survey maps the CBF landscape for safety under disturbances","Survey on CBF-based safety-critical control under disturbances.","Safety-critical control systems, such as autonomous vehicles and robotics, must operate reliably in complex, dynamic environments where ensuring both stability and strict adherence to safety constraints is essential. Here, safety refers to maintaining state forward invariance within a desired safe set. The control barrier function (CBF)-based safety-critical control (CBF-SC) has emerged as a promising framework, enabling control systems to maintain states within specified forward invariant sets. However, real-world applications often encounter undesirable disturbances and uncertainties, complicating the implementation of CBF and potentially compromising safety guarantees. This article provides a comprehensive survey of recent advances in CBF-based safety-critical control, with a particular focus on handling disturbances and uncertainties. The article begins with an exploration of the foundational principles of the control Lyapunov function and CBF, then reviews and compares strategies to improve robustness in CBF-SC systems, drawing on robust control, adaptive control, and disturbance/uncertainty estimation and attenuation. The comparison between CBF-SC and other related methods is also explored. Advanced mechatronic applications are also reviewed, showcasing how CBFs are implemented in autonomous vehicles, robotics, industrial automation systems, and energy platforms. Finally, future research directions are provided in the area to trigger further discussion and investigation.","Alert: Bansal/Fan/Herbert. High - CBF survey"
"Distribution-Free and Calibrated Predictive Uncertainty","not specified","Thesis","Jul 2021","https://arxiv.org/abs/2107.07511","2026-03-24","email","definitely","Conformal Prediction","Thesis unifies distribution-free approaches to calibrated uncertainty","Thesis on distribution-free calibrated predictive uncertainty.","Black-box machine learning models are now routinely used in high-risk settings, like medical diagnostics, which demand uncertainty quantification to avoid consequential model failures. Conformal prediction is a user-friendly paradigm for creating statistically rigorous uncertainty sets/intervals for the predictions of such models. Critically, the sets are valid in a distribution-free sense: they possess explicit, non-asymptotic guarantees even without distributional assumptions or model assumptions. One can use conformal prediction with any pre-trained model, such as a neural network, to produce sets that are guaranteed to contain the ground truth. This hands-on introduction is aimed to provide the reader a working understanding of conformal prediction and related distribution-free uncertainty quantification techniques with one self-contained document. The paper leads the reader through practical theory for and examples of conformal prediction and describes its extensions to complex machine learning tasks involving structured outputs, distribution shift, time-series, outliers, models that abstain, and more.","Alert: Lindemann citation. Moderate-High - CP thesis"
"Perceiving the Knowledge Boundary: Uncertainty-Guided Exploration for World Models","Z Liu, P Peng, Y Huang, Y Tian","AAAI 2026","Feb 2025","https://ojs.aaai.org/index.php/AAAI/search?query=Perceiving+the+Knowledge+Boundary","2026-03-24","email","probably","Reinforcement Learning","Uncertainty-guided exploration prevents world model hallucinations in RL","Uncertainty-guided exploration in world-model-based RL.","World-model-based reinforcement learning achieves high sample efficiency by learning from imagined rollouts. However, its success critically depends on the accuracy of the learned world model, which is prone to producing unrealistic or hallucinated rollouts when queried beyond its domain of competence. These flawed predictions can trap the agent in a vicious cycle: by misleading exploration toward implausible or uninformative regions, they degrade the quality of collected data, which in turn corrupts policy learning with inaccurate rollouts. To break this cycle, we introduce the notion of a knowledge boundary—the region within which the world model provides reliable predictions—and propose a unified framework that both identifies and leverages this boundary. Concretely, we approximate the boundary using model uncertainty, quantified via disagreement across an ensemble of lightweight predictors, which serves as a practical proxy. This uncertainty signal is used in two complementary ways: as an intrinsic reward to guide exploration toward under-explored yet learnable regions, and as a dynamic filter to exclude unreliable imagined rollouts from policy optimization. Extensive experiments across diverse benchmarks—including CARLA, DeepMind Control Suite, Atari, and MemoryMaze—demonstrate that our approach consistently outperforms prior state-of-the-art methods.","Alert: Bajcsy citation. Moderate - world model uncertainty"
"Safe Optimal Control of Cooperative Multi-Agent Systems","B Li","Thesis","2025","https://arxiv.org/search/?query=safe+optimal+control+cooperative+multi-agent&searchtype=all","2026-03-24","email","probably","Safety & Verification","Thesis on CLF+CBF methods for cooperative multi-agent safety","Thesis on safe optimal control for cooperative multi-agent systems.","The cooperative control of multi-agent systems (MASs) has garnered significant attention due to its broad range of applications, including environmental exploration, area coverage, and more. Two fundamental requirements for MASs are stability, which ensures that the system states converge to desired objectives, and safety, which guarantees that agents operate within safe regions. To meet these requirements, control Lyapunov functions (CLFs) are employed to achieve stability, while control barrier functions (CBFs) are used to enforce safety constraints. These functions are integrated into a unified quadratic programming (QP) framework, where control inputs are computed by solving constrained optimization problems. In practical applications, external disturbances and modeling uncertainties are often inevitable, thereby necessitating the development of robust control strategies. Within the proposed QP control framework, such uncertainties typically appear as unknown components in the constraint formulations. One conventional approach to address this issue is the use of model-based robustness techniques, which rely on bounds of uncertainties. Alternatively, modern data-driven approaches, such as Gaussian process (GP) modeling, offer possible solution by providing probabilistic approximations of the unknown functions, including mean and variances predictions. This probabilistic characterization enables an estimation of uncertainty, enhancing the robustness and overall reliability of the control framework. Moreover, MASs frequently operate in resource-constrained environments, where control performance is of high importance. In such scenarios, system behavior is often influenced by hyperparameters whose effects on performance are complex and difficult to model analytically. To systematically improve long-term control performance, this thesis formulates this problem as a black-box optimization task and proposes a constrained Bayesian optimization (CBO) algorithm, which efficiently explores the hyperparameter space to identify configurations that optimize system performance while ensuring stability and safety.","Alert: Chuchu Fan citation. Moderate - multi-agent safe control thesis"
"Do GUI Grounders Truly Understand UI Elements?","S Jandial, Y Li, J Wagle, K Koishida","Findings of EACL 2026","Mar 2026","https://arxiv.org/search/?query=GUI+grounders+understand+UI+elements+Jandial&searchtype=all","2026-03-24","email","mildly","Other","GUI grounding models may not understand UI elements as well as benchmarks suggest","GUI grounding. Not robotics relevant.","","Alert: Bajcsy citation. Low - GUI grounding"
"Detecting Subtle Biases in AI Language Models","S Bali, F Farsi, M Hosseini et al.","EACL 2026","Mar 2026","https://aclanthology.org/2026.eacl-long.345/","2026-03-24","email","mildly","Other","New methods detect subtle biases in large language models","LLM bias detection. Not relevant.","This paper was authored by Shayan Bali, Farhan Farsi, Mohammad Hosseini, Adel Khorramrouz, and Ehsaneddin Asgari, and was presented at EACL 2026. The study focuses on dimensions that are socially influential but less explored, including residency status, political ideology, fitness status, educational attainment, and attitudes toward AI. The researchers propose a baseline and employ one statistical test and one metric: a permutation test that reveals the presence of bias by comparing the probability distributions of ethical/unethical scenarios with the probability distribution of neutral scenarios on each demographic group, and a tendency measurement that captures the magnitude of bias with respect to the relative difference between probability distribution of ethical and unethical scenarios. Evaluations of 12 prominent LLMs reveal persistent and nuanced biases across all four attributes, and Llama models exhibited the most pronounced biases. These findings highlight the need for refined ethical benchmarks and bias-mitigation tools in LLMs.","Alert: Lindemann citation. Low - LLM bias"
"SYMDIREC: Neuro-Symbolic Framework for RTL Synthesis","P Vijayaraghavan et al.","arXiv preprint","Mar 2026","https://arxiv.org/abs/2603.17208","2026-03-24","email","mildly","Other","Neuro-symbolic approach to hardware RTL synthesis","RTL synthesis. Not relevant.","Register-Transfer Level (RTL) synthesis and summarization are central to hardware design automation but remain challenging for Large Language Models (LLMs) due to rigid HDL syntax, limited supervision, and weak alignment with natural language. Existing prompting and retrieval-augmented generation (RAG) methods have not incorporated symbolic planning, limiting their structural precision. SYMDIREC is a neuro-symbolic framework that decomposes RTL tasks into symbolic subgoals, retrieves relevant code via a fine-tuned retriever, and assembles verified outputs through LLM reasoning. Supporting both Verilog and VHDL without LLM fine-tuning, SYMDIREC achieves ~20% higher Pass@1 rates for synthesis and 15-20% ROUGE-L improvements for summarization over prompting baselines.","Alert: Chuchu Fan citation. Low - hardware design"
"Formal Methods in Robot Policy Learning and Verification: A Survey","not specified","arXiv:2602.06971","Feb 2026","https://arxiv.org/abs/2602.06971","2026-03-24","web_survey","definitely","Verification & Safety","Survey maps the full landscape of formal verification for learned robot policies","Comprehensive survey on formal methods and verification techniques for deep learning-based robot policies.","As hardware and software systems have grown in complexity, formal methods have been indispensable tools for rigorously specifying acceptable behaviors, synthesizing programs to meet these specifications, and validating the correctness of existing programs. In the field of robotics, a similar trend of rising complexity has emerged, driven in large part by the adoption of deep learning, which has enabled highly performant robot policies but posed challenges to traditional formal analysis due to their implementation as deep neural networks. In response, the robotics community has introduced new formal and semi-formal methods to support the precise specification of complex objectives, guide the learning process to achieve them, and enable the verification of learned policies against them. This survey provides a comprehensive overview of how formal methods have been used in recent robot learning research, organized around two pillars: policy learning and policy verification, highlighting representative techniques, comparing their scalability and expressiveness, and summarizing how they contribute to improving realistic robot safety and correctness. The paper concludes with a discussion of remaining obstacles and promising directions for advancing formal methods in robot learning.",""
"Safe LLM-Controlled Robots with Formal Guarantees via Reachability Analysis","not specified","arXiv:2503.03911","Mar 2025","https://arxiv.org/abs/2503.03911","2026-03-24","web_survey","definitely","Verification & Safety","Reachability analysis gives formal safety guarantees to LLM-controlled robots","Provides rigorous safety guarantees for robot-LLM systems using reachability analysis and historical data.","The deployment of Large Language Models (LLMs) in robotic systems presents unique safety challenges, particularly in unpredictable environments. Although LLMs, leveraging zero-shot learning, enhance human-robot interaction and decision-making capabilities, their inherent probabilistic nature and lack of formal guarantees raise significant concerns for safety-critical applications. Traditional model-based verification approaches often rely on precise system models, which are difficult to obtain for real-world robotic systems and may not be fully trusted due to modeling inaccuracies, unmodeled dynamics, or environmental uncertainties. To address these challenges, this paper introduces a safety assurance framework for LLM-controlled robots based on data-driven reachability analysis, a formal verification technique that ensures all possible system trajectories remain within safe operational limits. The framework specifically investigates the problem of instructing an LLM to navigate the robot to a specified goal and assesses its ability to generate low-level control actions that successfully guide the robot safely toward that goal. By leveraging historical data to construct reachable sets of states for the robot-LLM system, the approach provides rigorous safety guarantees against unsafe behaviors without relying on explicit analytical models. The framework is validated through experimental case studies in autonomous navigation and task planning, demonstrating its effectiveness in mitigating risks associated with LLM-generated commands.",""
"V-MORALS: Visual Morse Graph-Aided Estimation of Regions of Attraction in a Learned Latent Space","not specified","arXiv:2602.23524","Feb 2026","https://arxiv.org/abs/2602.23524","2026-03-24","web_survey","definitely","Verification & Safety","Reachability analysis from images without explicit state knowledge","Learns latent space representations for reachability analysis from image-based trajectories without requiring state knowledge.","V-MORALS stands for Visual Morse Graph-Aided Estimation of Regions of Attraction in a Learned Latent Space, and it takes in a dataset of image-based trajectories of a system under a given controller, and learns a latent space for reachability analysis. Reachability analysis has become increasingly important in robotics to distinguish safe from unsafe states, but existing reachability and safety analysis methods often fall short, as they typically require known system dynamics or large datasets to estimate accurate system models, are computationally expensive, and assume full state information. A recent method called MORALS aims to address these shortcomings by using topological tools to estimate Regions of Attraction (ROA) in a low-dimensional latent space, but MORALS still relies on full state knowledge and has not been studied when only sensor measurements are available. V-MORALS extends this work to address these limitations.","Relevant to visuomotor verification"
